technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none,0.96,0.03,0.96,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.02
hst,0.62,0.3,0.71,0.23,0.8,0.16,0.87,0.1,0.93,0.05,0.79,0.17
iforest,0.34,0.52,0.33,0.52,0.34,0.52,0.33,0.53,0.22,0.61,0.31,0.54
lof,0.61,0.31,0.59,0.32,0.65,0.28,0.75,0.2,0.86,0.11,0.69,0.24
z,0.95,0.04,0.94,0.05,0.94,0.05,0.95,0.04,0.96,0.03,0.95,0.04
