technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none,0.97,0.02,0.98,0.02,0.98,0.02,0.99,0.01,0.99,0.01,0.98,0.02
LOCF,0.98,0.01,0.99,0.01,0.99,0.01,0.99,0.01,1.0,0.0,0.99,0.01
drop,0.99,0.01,0.99,0.01,0.99,0.01,1.0,0.0,0.99,0.01,0.99,0.01
interpolation,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,1.0,0.0,0.99,0.01
mean,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01
