technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none+none,0.93,0.05,0.95,0.04,0.96,0.03,0.98,0.02,0.99,0.01,0.96,0.03
hst+LOCF,0.93,0.05,0.96,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.03
hst+drop,1.07,-0.06,1.04,-0.03,1.02,-0.02,1.01,-0.01,1.0,-0.0,1.03,-0.02
hst+interpolation,0.93,0.05,0.96,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.03
hst+mean,0.96,0.03,0.97,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.02
iforest+LOCF,0.92,0.06,0.93,0.06,0.93,0.05,0.93,0.05,0.93,0.06,0.93,0.06
iforest+drop,1.01,-0.01,1.02,-0.01,1.05,-0.04,1.09,-0.07,1.09,-0.07,1.05,-0.04
iforest+interpolation,0.93,0.06,0.93,0.05,0.93,0.05,0.93,0.05,0.92,0.06,0.93,0.05
iforest+mean,0.9,0.07,0.91,0.07,0.91,0.07,0.91,0.07,0.9,0.07,0.91,0.07
lof+LOCF,0.93,0.05,0.95,0.04,0.96,0.03,0.96,0.03,0.98,0.02,0.96,0.03
lof+drop,1.01,-0.01,0.99,0.0,0.99,0.01,1.0,0.0,1.0,-0.0,1.0,0.0
lof+interpolation,0.94,0.05,0.95,0.03,0.96,0.03,0.97,0.02,0.98,0.01,0.96,0.03
lof+mean,0.92,0.06,0.94,0.04,0.95,0.04,0.95,0.04,0.97,0.02,0.95,0.04
z+LOCF,0.89,0.08,0.9,0.08,0.91,0.07,0.92,0.06,0.93,0.05,0.91,0.07
z+drop,1.31,-0.24,1.31,-0.24,1.31,-0.24,1.31,-0.24,1.31,-0.24,1.31,-0.24
z+interpolation,0.93,0.06,0.93,0.06,0.93,0.06,0.93,0.06,0.93,0.05,0.93,0.06
z+mean,1.22,-0.17,1.24,-0.18,1.25,-0.19,1.26,-0.2,1.28,-0.21,1.25,-0.19
