technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none+none,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
hst+LOCF,0.89,0.08,0.9,0.08,0.91,0.07,0.92,0.06,0.93,0.05,0.91,0.07
hst+drop,1.26,-0.2,1.23,-0.18,1.19,-0.15,1.15,-0.12,1.12,-0.09,1.19,-0.15
hst+interpolation,0.89,0.08,0.91,0.07,0.92,0.07,0.93,0.05,0.95,0.04,0.92,0.06
hst+mean,0.89,0.08,0.9,0.07,0.92,0.06,0.94,0.05,0.97,0.03,0.92,0.06
iforest+LOCF,0.92,0.06,0.92,0.06,0.93,0.06,0.93,0.06,0.92,0.06,0.92,0.06
iforest+drop,1.01,-0.0,1.01,-0.01,1.02,-0.02,1.05,-0.04,1.05,-0.04,1.03,-0.02
iforest+interpolation,0.92,0.06,0.93,0.06,0.93,0.05,0.93,0.06,0.93,0.06,0.93,0.06
iforest+mean,0.88,0.1,0.88,0.09,0.88,0.09,0.87,0.1,0.87,0.1,0.88,0.1
lof+LOCF,0.94,0.05,0.95,0.04,0.96,0.03,0.96,0.03,0.98,0.02,0.96,0.03
lof+drop,0.99,0.01,0.99,0.01,0.99,0.01,1.0,0.0,1.0,-0.0,0.99,0.01
lof+interpolation,0.94,0.05,0.95,0.04,0.96,0.03,0.97,0.02,0.98,0.01,0.96,0.03
lof+mean,0.92,0.06,0.93,0.05,0.94,0.05,0.94,0.04,0.96,0.03,0.94,0.05
z+LOCF,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
z+drop,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
z+interpolation,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
z+mean,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
