technique,50_p,50_r,50_f1,60_p,60_r,60_f1,70_p,70_r,70_f1,80_p,80_r,80_f1,90_p,90_r,90_f1,avg_p,avg_r,avg_f1
hst,0.91,0.72,0.8,0.94,0.67,0.78,0.94,0.62,0.75,0.89,0.58,0.7,0.73,0.55,0.63,0.88,0.63,0.73
iforest,1.0,0.27,0.42,1.0,0.33,0.5,1.0,0.42,0.6,1.0,0.61,0.76,0.74,0.92,0.82,0.95,0.51,0.62
lof,0.92,0.52,0.67,0.89,0.53,0.67,0.85,0.52,0.64,0.77,0.54,0.64,0.69,0.78,0.73,0.82,0.58,0.67
z,0.25,0.0,0.0,0.12,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.17,0.0,0.0
