technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none+none,0.95,0.04,0.96,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.02
hst+LOCF,0.51,0.38,0.61,0.31,0.67,0.25,0.74,0.2,0.79,0.16,0.66,0.26
hst+drop,0.92,0.06,0.95,0.04,0.97,0.02,0.97,0.02,0.98,0.02,0.96,0.03
hst+interpolation,0.49,0.4,0.59,0.32,0.66,0.27,0.7,0.23,0.75,0.19,0.64,0.28
hst+mean,0.12,0.69,0.25,0.59,0.35,0.51,0.43,0.44,0.52,0.38,0.33,0.52
iforest+LOCF,0.79,0.17,0.72,0.22,0.67,0.26,0.6,0.31,0.52,0.38,0.66,0.27
iforest+drop,0.99,0.01,0.98,0.01,0.96,0.03,0.97,0.02,0.96,0.03,0.97,0.02
iforest+interpolation,0.73,0.21,0.66,0.26,0.61,0.31,0.54,0.36,0.45,0.43,0.6,0.31
iforest+mean,-0.33,1.04,-0.27,0.99,-0.29,1.01,-0.29,1.01,-0.3,1.02,-0.3,1.01
lof+LOCF,0.92,0.06,0.93,0.05,0.95,0.04,0.97,0.03,0.98,0.02,0.95,0.04
lof+drop,0.99,0.01,1.0,-0.0,1.01,-0.01,1.01,-0.01,1.01,-0.01,1.0,-0.0
lof+interpolation,0.91,0.07,0.93,0.06,0.94,0.05,0.95,0.04,0.97,0.03,0.94,0.05
lof+mean,0.5,0.39,0.53,0.37,0.6,0.31,0.71,0.23,0.83,0.13,0.63,0.29
z+LOCF,0.95,0.04,0.95,0.04,0.97,0.03,0.97,0.02,0.99,0.01,0.97,0.03
z+drop,0.96,0.03,0.97,0.02,0.98,0.02,0.99,0.01,1.0,0.0,0.98,0.02
z+interpolation,0.95,0.04,0.95,0.04,0.97,0.03,0.97,0.02,0.99,0.01,0.97,0.03
z+mean,0.92,0.07,0.92,0.07,0.93,0.05,0.94,0.05,0.96,0.03,0.93,0.05
