technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none,0.96,0.03,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.98,0.02
hst,0.95,0.04,0.96,0.03,0.97,0.03,0.97,0.02,0.98,0.01,0.97,0.03
iforest,0.88,0.09,0.88,0.09,0.89,0.09,0.94,0.04,0.97,0.02,0.91,0.07
lof,0.94,0.05,0.95,0.04,0.96,0.03,0.97,0.02,0.98,0.01,0.96,0.03
z,0.97,0.03,0.97,0.02,0.97,0.02,0.98,0.01,0.99,0.01,0.98,0.02
