technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none,0.97,0.02,0.97,0.02,0.98,0.02,0.99,0.01,0.99,0.0,0.98,0.01
LOCF,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0
drop,1.03,-0.03,1.03,-0.03,1.03,-0.02,1.03,-0.02,1.01,-0.01,1.03,-0.02
interpolation,0.99,0.01,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
mean,0.96,0.03,0.97,0.03,0.97,0.02,0.98,0.02,0.99,0.01,0.97,0.02
