percentage,outlier,correction,imputation,r2
20,z,drop,LOCF,0.7765439199425934
20,z,drop,interpolation,0.7760519426283226
20,z,LOCF,LOCF,0.7702919346672689
20,z,LOCF,interpolation,0.7700415279926266
20,lof,drop,LOCF,0.7959039098607756
20,lof,drop,interpolation,0.792759893261419
20,lof,LOCF,LOCF,0.7639098679327143
20,lof,LOCF,interpolation,0.7645472269331528
20,hst,drop,LOCF,0.7828768569178997
20,hst,drop,interpolation,0.7821135149496284
20,hst,LOCF,LOCF,0.7739864286268827
20,hst,LOCF,interpolation,0.7723032226501267
20,z,drop,LOCF,0.778187441380566
20,z,drop,interpolation,0.7756177459285656
20,z,LOCF,LOCF,0.7729872430608924
20,z,LOCF,interpolation,0.7706856095935812
20,lof,drop,LOCF,0.7970955086063745
20,lof,drop,interpolation,0.782252644836047
20,lof,LOCF,LOCF,0.7645830294384997
20,lof,LOCF,interpolation,0.764502157013815
20,hst,drop,LOCF,0.7770916566310726
20,hst,drop,interpolation,0.776941354268647
20,hst,LOCF,LOCF,0.7622929553679318
20,hst,LOCF,interpolation,0.7607260649185339
20,z,drop,LOCF,0.7781990238745591
20,z,drop,interpolation,0.776601259771201
20,z,LOCF,LOCF,0.7760547013943533
20,z,LOCF,interpolation,0.7737629253552638
20,lof,drop,LOCF,0.7994291765908359
20,lof,drop,interpolation,0.7986441887300508
20,lof,LOCF,LOCF,0.7649657674321481
20,lof,LOCF,interpolation,0.7664446479955281
20,hst,drop,LOCF,0.7772971427802924
20,hst,drop,interpolation,0.7748187399589291
20,hst,LOCF,LOCF,0.7695222376617172
20,hst,LOCF,interpolation,0.7678230938282427
20,z,drop,LOCF,0.7848743287413729
20,z,drop,interpolation,0.7852033817049501
20,z,LOCF,LOCF,0.7752086647749309
20,z,LOCF,interpolation,0.7737039360125313
20,lof,drop,LOCF,0.7886055248075643
20,lof,drop,interpolation,0.7942892971871285
20,lof,LOCF,LOCF,0.7676962963744047
20,lof,LOCF,interpolation,0.7667345171356837
20,hst,drop,LOCF,0.790903880607073
20,hst,drop,interpolation,0.7897297002419427
20,hst,LOCF,LOCF,0.7734157678366401
20,hst,LOCF,interpolation,0.7739463137489735
20,z,drop,LOCF,0.7824893083844353
20,z,drop,interpolation,0.7820499339167343
20,z,LOCF,LOCF,0.7769127563719758
20,z,LOCF,interpolation,0.777664293254722
20,lof,drop,LOCF,0.7903624579071129
20,lof,drop,interpolation,0.7935096230536289
20,lof,LOCF,LOCF,0.7648078246938663
20,lof,LOCF,interpolation,0.7657979699837334
20,hst,drop,LOCF,0.7839061770634612
20,hst,drop,interpolation,0.7849896320684351
20,hst,LOCF,LOCF,0.773520086547905
20,hst,LOCF,interpolation,0.774031156213866
20,z,drop,LOCF,0.7818726824903933
20,z,drop,interpolation,0.7806454544052254
20,z,LOCF,LOCF,0.7775548843889926
20,z,LOCF,interpolation,0.7774399574450461
20,lof,drop,LOCF,0.7938214972685932
20,lof,drop,interpolation,0.795506122698811
20,lof,LOCF,LOCF,0.7698823274378652
20,lof,LOCF,interpolation,0.7692146431894351
20,hst,drop,LOCF,0.7905345377617589
20,hst,drop,interpolation,0.7897050149379989
20,hst,LOCF,LOCF,0.777383295898889
20,hst,LOCF,interpolation,0.7765372071174581
20,z,drop,LOCF,0.7756657354497072
20,z,drop,interpolation,0.777932835798614
20,z,LOCF,LOCF,0.773322295716951
20,z,LOCF,interpolation,0.7731667929427276
20,lof,drop,LOCF,0.7988099541628876
20,lof,drop,interpolation,0.7978587256693657
20,lof,LOCF,LOCF,0.7628632322761053
20,lof,LOCF,interpolation,0.7635262697973835
20,hst,drop,LOCF,0.786244830597061
20,hst,drop,interpolation,0.7840021742383836
20,hst,LOCF,LOCF,0.7669180169122403
20,hst,LOCF,interpolation,0.7662063260888308
20,z,drop,LOCF,0.7733472317567622
20,z,drop,interpolation,0.7748720320620075
20,z,LOCF,LOCF,0.7704805418802267
20,z,LOCF,interpolation,0.7716838021443367
20,lof,drop,LOCF,0.7999327226902432
20,lof,drop,interpolation,0.8053331346004361
20,lof,LOCF,LOCF,0.7651814810435573
20,lof,LOCF,interpolation,0.7683548597267851
20,hst,drop,LOCF,0.7755642776218206
20,hst,drop,interpolation,0.7751859670617256
20,hst,LOCF,LOCF,0.7608383045716506
20,hst,LOCF,interpolation,0.7612395296584575
