percentage,outlier,imputation,r2
10,none,none,0.6693943364676911
10,z,drop,0.6697624056955138
10,z,LOCF,0.669516068371199
10,z,mean,0.6511492339952104
10,z,interpolation,0.6696460513703479
10,lof,drop,0.7495754328816672
10,lof,LOCF,0.7245580298460855
10,lof,mean,0.5997924175416028
10,lof,interpolation,0.7172790230535673
10,iforest,drop,0.6909784517743314
10,iforest,LOCF,0.2986464917604021
10,iforest,mean,-0.2141403143587521
10,iforest,interpolation,0.2460929513034039
10,hst,drop,0.6966092137934837
10,hst,LOCF,0.6931846883814967
10,hst,mean,0.6264133378992012
10,hst,interpolation,0.6902956930920743
10,none,none,0.6750257737212344
10,z,drop,0.6733631934075833
10,z,LOCF,0.6730945059482574
10,z,mean,0.6560691232158069
10,z,interpolation,0.6722014838575923
10,lof,drop,0.7417525106211793
10,lof,LOCF,0.7248668301134044
10,lof,mean,0.6021626964944982
10,lof,interpolation,0.7173126235527327
10,iforest,drop,0.6766355991609829
10,iforest,LOCF,0.3348669724782733
10,iforest,mean,-0.2198206966483
10,iforest,interpolation,0.2267595644600387
10,hst,drop,0.7005714690856439
10,hst,LOCF,0.691199063053614
10,hst,mean,0.6424809914820091
10,hst,interpolation,0.6911820862961109
10,none,none,0.672543850198486
10,z,drop,0.6711098466304443
10,z,LOCF,0.6704142022580951
10,z,mean,0.6521873219672296
10,z,interpolation,0.6696437259318404
10,lof,drop,0.7467982665114771
10,lof,LOCF,0.7244855498463499
10,lof,mean,0.6059032542870064
10,lof,interpolation,0.7172672497310469
10,iforest,drop,0.6726126316290739
10,iforest,LOCF,0.3479093729684017
10,iforest,mean,-0.2430433454686962
10,iforest,interpolation,0.2816710783608359
10,hst,drop,0.6977718920599809
10,hst,LOCF,0.6855539624723999
10,hst,mean,0.639898948413667
10,hst,interpolation,0.6835190671963266
10,none,none,0.6730100454581169
10,z,drop,0.671370990136034
10,z,LOCF,0.6704675249378939
10,z,mean,0.6530511371821947
10,z,interpolation,0.6705188644025166
10,lof,drop,0.747139023133216
10,lof,LOCF,0.7204206186253799
10,lof,mean,0.6021720695046611
10,lof,interpolation,0.7170964050703845
10,iforest,drop,0.6778367304321413
10,iforest,LOCF,0.3625745740244295
10,iforest,mean,-0.2185496518741512
10,iforest,interpolation,0.2210965402623829
10,hst,drop,0.6976579795920439
10,hst,LOCF,0.6908066473293388
10,hst,mean,0.6437876209688824
10,hst,interpolation,0.6874604569666392
10,none,none,0.6676165493610763
10,z,drop,0.6674562159661772
10,z,LOCF,0.6669798010972384
10,z,mean,0.6517150014000515
10,z,interpolation,0.6675788983028781
10,lof,drop,0.7535392828429421
10,lof,LOCF,0.721977483644612
10,lof,mean,0.6049306921571682
10,lof,interpolation,0.7164340439572365
10,iforest,drop,0.6987369815463241
10,iforest,LOCF,0.3379225911824121
10,iforest,mean,-0.2177511738022846
10,iforest,interpolation,0.2654561206106842
10,hst,drop,0.6954807320891043
10,hst,LOCF,0.6884924860545134
10,hst,mean,0.631087310734945
10,hst,interpolation,0.687706192687685
10,none,none,0.6682645978413527
10,z,drop,0.6696687811590201
10,z,LOCF,0.6661095632942619
10,z,mean,0.6469402066847214
10,z,interpolation,0.6668061791279134
10,lof,drop,0.7478121939306939
10,lof,LOCF,0.7227498097374888
10,lof,mean,0.5941306243053985
10,lof,interpolation,0.717932280203514
10,iforest,drop,0.6937065884350287
10,iforest,LOCF,0.3385506634514258
10,iforest,mean,-0.2031744322123281
10,iforest,interpolation,0.2459630239440861
10,hst,drop,0.6910288316990774
10,hst,LOCF,0.6872444674835102
10,hst,mean,0.6324293397105787
10,hst,interpolation,0.6875043456060408
10,none,none,0.6711898858374519
10,z,drop,0.6708025694805854
10,z,LOCF,0.6682029345163804
10,z,mean,0.650822285314745
10,z,interpolation,0.6678737260524062
10,lof,drop,0.7459019260801807
10,lof,LOCF,0.7237095098246835
10,lof,mean,0.603748540140009
10,lof,interpolation,0.717595055939671
10,iforest,drop,0.7027914391953998
10,iforest,LOCF,0.3257039615696878
10,iforest,mean,-0.2172253659832843
10,iforest,interpolation,0.2819091591348557
10,hst,drop,0.6938857943682768
10,hst,LOCF,0.6822733147500872
10,hst,mean,0.6422381524325604
10,hst,interpolation,0.6811565825657304
10,none,none,0.663733158585832
10,z,drop,0.6654807355330709
10,z,LOCF,0.6640555541086308
10,z,mean,0.6469316094369343
10,z,interpolation,0.6642663807816879
10,lof,drop,0.744421321485641
10,lof,LOCF,0.7214978549433597
10,lof,mean,0.5888237407350856
10,lof,interpolation,0.7178346011364001
10,iforest,drop,0.678643472283142
10,iforest,LOCF,0.3725088554799642
10,iforest,mean,-0.1990759496790308
10,iforest,interpolation,0.2915288103583578
10,hst,drop,0.691332222194561
10,hst,LOCF,0.6859940791673036
10,hst,mean,0.6244685776653208
10,hst,interpolation,0.6843173551165457
10,none,none,0.7339076068391072
