percentage,outlier,correction,imputation,r2
40,z,drop,LOCF,0.7813627424217382
40,z,drop,interpolation,0.7825374316538953
40,z,LOCF,LOCF,0.7676399685008004
40,z,LOCF,interpolation,0.7681277721154006
40,lof,drop,LOCF,0.7932057050345631
40,lof,drop,interpolation,0.786394749928444
40,lof,LOCF,LOCF,0.7516547220785597
40,lof,LOCF,interpolation,0.7551573869045278
40,hst,drop,LOCF,0.7810069339479093
40,hst,drop,interpolation,0.7806175865659835
40,hst,LOCF,LOCF,0.76641344984105
40,hst,LOCF,interpolation,0.7668104436551455
40,z,drop,LOCF,0.7780617294127967
40,z,drop,interpolation,0.7769898378784557
40,z,LOCF,LOCF,0.7675969990163647
40,z,LOCF,interpolation,0.7672669395162579
40,lof,drop,LOCF,0.7917270817884909
40,lof,drop,interpolation,0.7896634228748518
40,lof,LOCF,LOCF,0.7547161870058939
40,lof,LOCF,interpolation,0.7565459392628767
40,hst,drop,LOCF,0.7795973400602543
40,hst,drop,interpolation,0.7790919215783136
40,hst,LOCF,LOCF,0.7694164338576523
40,hst,LOCF,interpolation,0.7687685883359998
40,z,drop,LOCF,0.776879280137111
40,z,drop,interpolation,0.7769407742583405
40,z,LOCF,LOCF,0.7699805352044612
40,z,LOCF,interpolation,0.7705689655339647
40,lof,drop,LOCF,0.8032242733064304
40,lof,drop,interpolation,0.7939292807969831
40,lof,LOCF,LOCF,0.7611189244663783
40,lof,LOCF,interpolation,0.7583589290708221
40,hst,drop,LOCF,0.7822152074702222
40,hst,drop,interpolation,0.7811692016362551
40,hst,LOCF,LOCF,0.7662277091805666
40,hst,LOCF,interpolation,0.7648860300504965
40,z,drop,LOCF,0.7786616547687799
40,z,drop,interpolation,0.778924321722531
40,z,LOCF,LOCF,0.7636094859684659
40,z,LOCF,interpolation,0.7635276319200941
40,lof,drop,LOCF,0.7979091075146285
40,lof,drop,interpolation,0.7979237882865622
40,lof,LOCF,LOCF,0.754057311407786
40,lof,LOCF,interpolation,0.7522704563430486
40,hst,drop,LOCF,0.7863173509994759
40,hst,drop,interpolation,0.7870859548001119
40,hst,LOCF,LOCF,0.7597704759379864
40,hst,LOCF,interpolation,0.76170842840533
40,z,drop,LOCF,0.7714117094748946
40,z,drop,interpolation,0.7702453999060607
40,z,LOCF,LOCF,0.766741651782658
40,z,LOCF,interpolation,0.7658503744309062
40,lof,drop,LOCF,0.7863713462436034
40,lof,drop,interpolation,0.784139140064495
40,lof,LOCF,LOCF,0.7555339929417613
40,lof,LOCF,interpolation,0.7563288342845305
40,hst,drop,LOCF,0.7863102276737239
40,hst,drop,interpolation,0.7861871812587808
40,hst,LOCF,LOCF,0.7695253424476576
40,hst,LOCF,interpolation,0.768051865310372
40,z,drop,LOCF,0.7796863794491261
40,z,drop,interpolation,0.7779160193557745
40,z,LOCF,LOCF,0.7660545346387595
40,z,LOCF,interpolation,0.7644588001298076
40,lof,drop,LOCF,0.7972753756596676
40,lof,drop,interpolation,0.7963634077403476
40,lof,LOCF,LOCF,0.7630703111547461
40,lof,LOCF,interpolation,0.7608475756952902
40,hst,drop,LOCF,0.7780416855120439
40,hst,drop,interpolation,0.777755927972965
40,hst,LOCF,LOCF,0.7614881532032938
40,hst,LOCF,interpolation,0.7624383254378249
40,z,drop,LOCF,0.7784054839157769
40,z,drop,interpolation,0.776944326904876
40,z,LOCF,LOCF,0.7656305348887298
40,z,LOCF,interpolation,0.766519540758739
40,lof,drop,LOCF,0.8000946124384745
40,lof,drop,interpolation,0.7983755289323653
40,lof,LOCF,LOCF,0.7530772148911845
40,lof,LOCF,interpolation,0.7517187369096966
40,hst,drop,LOCF,0.7781286727248395
40,hst,drop,interpolation,0.7786368538740381
40,hst,LOCF,LOCF,0.7633148572146713
40,hst,LOCF,interpolation,0.7613168857489732
40,z,drop,LOCF,0.7682934180373907
40,z,drop,interpolation,0.7664513562627666
40,z,LOCF,LOCF,0.7607361202282278
40,z,LOCF,interpolation,0.7587727626242583
40,lof,drop,LOCF,0.7989856316474264
40,lof,drop,interpolation,0.7935423966807499
40,lof,LOCF,LOCF,0.7583402004137325
40,lof,LOCF,interpolation,0.7589269577291903
40,hst,drop,LOCF,0.7648476567668618
40,hst,drop,interpolation,0.7611080009007954
40,hst,LOCF,LOCF,0.7462692872443817
40,hst,LOCF,interpolation,0.7432906239871291
