percentage,outlier,correction,imputation,r2
10,z,drop,LOCF,0.7873416842975562
10,z,drop,interpolation,0.7875632524355365
10,z,LOCF,LOCF,0.7760303546881737
10,z,LOCF,interpolation,0.7754061114682285
10,lof,drop,LOCF,0.7911303319498991
10,lof,drop,interpolation,0.7905734490507534
10,lof,LOCF,LOCF,0.7686176907400503
10,lof,LOCF,interpolation,0.7684347227804947
10,hst,drop,LOCF,0.7914669413503554
10,hst,drop,interpolation,0.7915630768576514
10,hst,LOCF,LOCF,0.7667054811043545
10,hst,LOCF,interpolation,0.7661541176869924
10,z,drop,LOCF,0.7865166104233985
10,z,drop,interpolation,0.7865686448348653
10,z,LOCF,LOCF,0.7792253593487182
10,z,LOCF,interpolation,0.7799887706027663
10,lof,drop,LOCF,0.796547715356978
10,lof,drop,interpolation,0.795859969844987
10,lof,LOCF,LOCF,0.77046091732478
10,lof,LOCF,interpolation,0.7722564679194847
10,hst,drop,LOCF,0.7752714966352515
10,hst,drop,interpolation,0.7762506987744365
10,hst,LOCF,LOCF,0.7711930796438887
10,hst,LOCF,interpolation,0.7715242016086532
10,z,drop,LOCF,0.7840299790609555
10,z,drop,interpolation,0.7847617117458494
10,z,LOCF,LOCF,0.7746304804952451
10,z,LOCF,interpolation,0.775306509435437
10,lof,drop,LOCF,0.7847607185395242
10,lof,drop,interpolation,0.7862354891067577
10,lof,LOCF,LOCF,0.7663130567366536
10,lof,LOCF,interpolation,0.7658223696421425
10,hst,drop,LOCF,0.7962762564160155
10,hst,drop,interpolation,0.7964228627290232
10,hst,LOCF,LOCF,0.767069939976448
10,hst,LOCF,interpolation,0.7665881834614442
10,z,drop,LOCF,0.789605929298884
10,z,drop,interpolation,0.7887668829126615
10,z,LOCF,LOCF,0.7821433586459574
10,z,LOCF,interpolation,0.7813644493771241
10,lof,drop,LOCF,0.7896661655515768
10,lof,drop,interpolation,0.7911791304524123
10,lof,LOCF,LOCF,0.7703331793360176
10,lof,LOCF,interpolation,0.7683226641851133
10,hst,drop,LOCF,0.7834137566238029
10,hst,drop,interpolation,0.783643400133592
10,hst,LOCF,LOCF,0.7686282137987235
10,hst,LOCF,interpolation,0.767830367038103
10,z,drop,LOCF,0.7847125073026212
10,z,drop,interpolation,0.7849209375949514
10,z,LOCF,LOCF,0.7775474255080994
10,z,LOCF,interpolation,0.7771947122933069
10,lof,drop,LOCF,0.7827058575229016
10,lof,drop,interpolation,0.7966357076502668
10,lof,LOCF,LOCF,0.766710574728563
10,lof,LOCF,interpolation,0.7659992290232099
10,hst,drop,LOCF,0.7912857546015675
10,hst,drop,interpolation,0.791829269936135
10,hst,LOCF,LOCF,0.7684804572096265
10,hst,LOCF,interpolation,0.7686941026756604
10,z,drop,LOCF,0.7842448117432474
10,z,drop,interpolation,0.7841629225752241
10,z,LOCF,LOCF,0.7823560178257157
10,z,LOCF,interpolation,0.781956042915845
10,lof,drop,LOCF,0.7985499431479918
10,lof,drop,interpolation,0.7969104269909422
10,lof,LOCF,LOCF,0.7649886696102106
10,lof,LOCF,interpolation,0.7635064665600113
10,hst,drop,LOCF,0.79244394598205
10,hst,drop,interpolation,0.7919151956957262
10,hst,LOCF,LOCF,0.7740240152938762
10,hst,LOCF,interpolation,0.7743358596644379
10,z,drop,LOCF,0.7778549483900004
10,z,drop,interpolation,0.7767839846430428
10,z,LOCF,LOCF,0.7729829695926794
10,z,LOCF,interpolation,0.7720332094974097
10,lof,drop,LOCF,0.7921049577715087
10,lof,drop,interpolation,0.7913706962925656
10,lof,LOCF,LOCF,0.7694924465857956
10,lof,LOCF,interpolation,0.769915736682881
10,hst,drop,LOCF,0.78470859878698
10,hst,drop,interpolation,0.7846260459668504
10,hst,LOCF,LOCF,0.7635689768790046
10,hst,LOCF,interpolation,0.7615352367705496
10,z,drop,LOCF,0.7863632070014438
10,z,drop,interpolation,0.7872230918577672
10,z,LOCF,LOCF,0.7756555855454512
10,z,LOCF,interpolation,0.7755805422793751
10,lof,drop,LOCF,0.7873555935715568
10,lof,drop,interpolation,0.7827641874918098
10,lof,LOCF,LOCF,0.7731036675556178
10,lof,LOCF,interpolation,0.7717974261057262
10,hst,drop,LOCF,0.7874684666034006
10,hst,drop,interpolation,0.7879446275785438
10,hst,LOCF,LOCF,0.7700911196508717
10,hst,LOCF,interpolation,0.7697570262614902
