percentage,method,precision,recall,f1
30,z,1.0,0.0735140275796481,0.1369596031183557
30,lof,0.8361559139784946,0.5916310033285782,0.6929546087440825
30,iforest,0.9699989830163734,0.4535425582501188,0.6180863817516119
30,hst,0.9444189251263206,0.2932952924393723,0.447588984434527
30,z,1.0,0.0716751366382203,0.1337628058873529
30,lof,0.8313914557385831,0.5952632083613002,0.6937863209655789
30,iforest,0.971597874948917,0.4559401668424585,0.620635645761274
30,hst,0.9490375512780056,0.2883785597852143,0.4423444624209442
30,z,1.0,0.0758205532463809,0.1409539035438316
30,lof,0.8319741187571611,0.589747264822512,0.6902259002460299
30,iforest,0.9690962691877604,0.4554488557641775,0.6196697867914717
30,hst,0.9458410924891372,0.2911948784100138,0.445296803652968
30,z,0.9993377483443708,0.0726353790613718,0.1354274175454341
30,lof,0.8323092170465808,0.6063537906137184,0.7015873015873016
30,iforest,0.9579519163062066,0.458387484957882,0.6200677171506707
30,hst,0.9432191459408727,0.2902527075812274,0.4439045936395759
30,z,1.0,0.0738876489861816,0.1376077824452796
30,lof,0.8328455500864707,0.5945676432879055,0.6938187460172333
30,iforest,0.9650562139167428,0.4524431359513747,0.6160610371136687
30,hst,0.9482180932074322,0.2956455672159171,0.4507511312217194
30,z,0.99934036939314,0.0719475708790426,0.134231161121694
30,lof,0.8331993569131833,0.5906824333950705,0.6912880366819508
30,iforest,0.9665382275400528,0.452676069715534,0.6165788026779649
30,hst,0.948499161968612,0.2956261575723037,0.4507603186097031
30,z,1.0,0.0721330220591738,0.1345598364662489
30,lof,0.8351699726173779,0.5957882700462147,0.6954563149991658
30,iforest,0.9603809909818624,0.4515698699318691,0.6142977509883984
30,hst,0.9397152378067252,0.2955834008290057,0.4497118625638795
30,z,0.9993808049535604,0.0762291597789637,0.1416535018430753
30,lof,0.8352363250132767,0.5942473905445614,0.6944283467174435
30,iforest,0.968080808080808,0.4526519624049497,0.6168699514047566
30,hst,0.9440642665873252,0.2997213432201389,0.4549919340383582
