percentage,outlier,correction,imputation,r2
40,z,drop,LOCF,0.7809314532991638
40,z,drop,interpolation,0.7812937198874332
40,z,LOCF,LOCF,0.7671088915289432
40,z,LOCF,interpolation,0.7677852376193299
40,lof,drop,LOCF,0.7959526375148283
40,lof,drop,interpolation,0.7895205248989303
40,lof,LOCF,LOCF,0.7519019371762636
40,lof,LOCF,interpolation,0.7550396063464301
40,hst,drop,LOCF,0.7807329408142217
40,hst,drop,interpolation,0.7784876346629394
40,hst,LOCF,LOCF,0.765902196919505
40,hst,LOCF,interpolation,0.764765181788739
40,z,drop,LOCF,0.7791355979767484
40,z,drop,interpolation,0.776542907957182
40,z,LOCF,LOCF,0.7674194566324107
40,z,LOCF,interpolation,0.7665987075626206
40,lof,drop,LOCF,0.7883187861482759
40,lof,drop,interpolation,0.7862319057969558
40,lof,LOCF,LOCF,0.752746023620355
40,lof,LOCF,interpolation,0.7518652146306141
40,hst,drop,LOCF,0.7812966452779232
40,hst,drop,interpolation,0.7799098378843855
40,hst,LOCF,LOCF,0.7691803590444577
40,hst,LOCF,interpolation,0.7677882929416322
40,z,drop,LOCF,0.7781109582921575
40,z,drop,interpolation,0.7781637041989583
40,z,LOCF,LOCF,0.7696050338095812
40,z,LOCF,interpolation,0.7698015984061221
40,lof,drop,LOCF,0.8020523239841475
40,lof,drop,interpolation,0.7973414848779783
40,lof,LOCF,LOCF,0.7601444401065327
40,lof,LOCF,interpolation,0.7573922391467955
40,hst,drop,LOCF,0.7842086010787159
40,hst,drop,interpolation,0.7835808557625761
40,hst,LOCF,LOCF,0.7658631249861398
40,hst,LOCF,interpolation,0.7648471534933984
40,z,drop,LOCF,0.7776194822503739
40,z,drop,interpolation,0.7794419918293147
40,z,LOCF,LOCF,0.7633246225389434
40,z,LOCF,interpolation,0.763610230701444
40,lof,drop,LOCF,0.8016484756802786
40,lof,drop,interpolation,0.7965621506129039
40,lof,LOCF,LOCF,0.7531313444155335
40,lof,LOCF,interpolation,0.7538858191987199
40,hst,drop,LOCF,0.782243866620971
40,hst,drop,interpolation,0.782276846476785
40,hst,LOCF,LOCF,0.7595519068203599
40,hst,LOCF,interpolation,0.761655492722818
40,z,drop,LOCF,0.7708642500557642
40,z,drop,interpolation,0.7715908015493453
40,z,LOCF,LOCF,0.7665622286029719
40,z,LOCF,interpolation,0.7654851183697603
40,lof,drop,LOCF,0.7924394926816436
40,lof,drop,interpolation,0.7930272026288978
40,lof,LOCF,LOCF,0.7522315737484241
40,lof,LOCF,interpolation,0.7567229672207028
40,hst,drop,LOCF,0.7859618874587869
40,hst,drop,interpolation,0.7850563140927672
40,hst,LOCF,LOCF,0.7694544821445812
40,hst,LOCF,interpolation,0.7685649070395901
40,z,drop,LOCF,0.780176257840222
40,z,drop,interpolation,0.7787045090590415
40,z,LOCF,LOCF,0.7660326204707336
40,z,LOCF,interpolation,0.7651394735221791
40,lof,drop,LOCF,0.7983402581429493
40,lof,drop,interpolation,0.797685576223171
40,lof,LOCF,LOCF,0.7605836720573491
40,lof,LOCF,interpolation,0.7611807050052013
40,hst,drop,LOCF,0.7734487468115602
40,hst,drop,interpolation,0.7752862361666301
40,hst,LOCF,LOCF,0.7614737657557508
40,hst,LOCF,interpolation,0.7627678455437407
40,z,drop,LOCF,0.7778438009252073
40,z,drop,interpolation,0.7771678240534634
40,z,LOCF,LOCF,0.7655915297765374
40,z,LOCF,interpolation,0.7652296531989685
40,lof,drop,LOCF,0.8028668205379528
40,lof,drop,interpolation,0.7975713227810115
40,lof,LOCF,LOCF,0.7524454829409866
40,lof,LOCF,interpolation,0.7505306418730203
40,hst,drop,LOCF,0.7760309492864237
40,hst,drop,interpolation,0.7739810560904028
40,hst,LOCF,LOCF,0.7632469599514597
40,hst,LOCF,interpolation,0.7607847631957859
40,z,drop,LOCF,0.7679275439815678
40,z,drop,interpolation,0.7662552893446278
40,z,LOCF,LOCF,0.7606546725762868
40,z,LOCF,interpolation,0.7582388189843368
40,lof,drop,LOCF,0.8070749052922885
40,lof,drop,interpolation,0.8033144905370507
40,lof,LOCF,LOCF,0.7565589508358737
40,lof,LOCF,interpolation,0.7570833046205118
40,hst,drop,LOCF,0.7671241043551984
40,hst,drop,interpolation,0.764477457397457
40,hst,LOCF,LOCF,0.746194943491293
40,hst,LOCF,interpolation,0.7431178401709098
