percentage,method,precision,recall,f1
50,z,0.9970501474926252,0.0096579706832014,0.0191306316504414
50,lof,0.9120999666142032,0.5464468383004257,0.6834393538703453
50,iforest,0.9932535157734702,0.2986827442352202,0.4592605610597307
50,hst,0.956498388829216,0.3562305340457753,0.5191230663529803
50,z,1.0,0.0103861366417209,0.0205587473245465
50,lof,0.9121330911176976,0.542924622257633,0.6806871086851821
50,iforest,0.9968850292618464,0.3005150385567538,0.4618142860266304
50,hst,0.9537282864294924,0.3577668383461856,0.5203410172577909
50,z,1.0,0.0083853854710361,0.0166313109885447
50,lof,0.9142254399002732,0.5438521434072046,0.6819986408669838
50,iforest,0.9979194250047286,0.3009611819400473,0.462452065300756
50,hst,0.9562640660165042,0.3635663557799264,0.5268335020974975
50,z,1.0,0.0068170198261659,0.0135417254415166
50,lof,0.9160533687859076,0.5480031812759188,0.6857660795848365
50,iforest,0.9974525898669686,0.300289723342612,0.4616089946512389
50,hst,0.9576029962546816,0.3631199227404419,0.5265672625422193
50,z,0.9971830985915492,0.0101148637064975,0.0200265889740616
50,lof,0.910884451467701,0.5435167723869936,0.6808038510406041
50,iforest,0.9986611838959548,0.2983884793416766,0.4594874051259487
50,hst,0.9597145488029466,0.3573632779015944,0.5207995003123048
50,z,1.0,0.0103261337234317,0.0204411889958265
50,lof,0.912291686735382,0.5432980523764449,0.6810247191011236
50,iforest,0.9978213507625272,0.302154146229527,0.4638485248789079
50,hst,0.9570104815433692,0.3614146803201101,0.5246830040184055
50,z,0.9974489795918368,0.0111202753050254,0.0219953309144094
50,lof,0.9125011946860364,0.5430732914308467,0.6809064489097296
50,iforest,0.998954372623574,0.2988822843491368,0.4601037630524726
50,hst,0.9551629426174746,0.3659452234009271,0.5291577562099029
50,z,0.9874371859296482,0.0112398112398112,0.0222266210445946
50,lof,0.9148662183431104,0.5486057486057486,0.6859043123793177
50,iforest,0.9970411377302664,0.2987558987558987,0.4597508912459838
50,hst,0.9543878166465621,0.36204776204776207,0.5249538659312861
