percentage,outlier,imputation,r2
20,none,none,0.6014103804642839
20,z,drop,0.6119965585474081
20,z,LOCF,0.6092374305955593
20,z,mean,0.5894282279746201
20,z,interpolation,0.6091049401216394
20,lof,drop,0.749929420752165
20,lof,LOCF,0.7178734229598243
20,lof,mean,0.4953406818508067
20,lof,interpolation,0.708306742282721
20,iforest,drop,0.6860279850364728
20,iforest,LOCF,0.4338253104132117
20,iforest,mean,-0.2040248635015802
20,iforest,interpolation,0.3570785797552115
20,hst,drop,0.6608993991932949
20,hst,LOCF,0.6576383058933268
20,hst,mean,0.5439465512573505
20,hst,interpolation,0.6530448178756172
20,none,none,0.5992584939826469
20,z,drop,0.6094049388052805
20,z,LOCF,0.6061502808465824
20,z,mean,0.5888778321883561
20,z,interpolation,0.6051786749369933
20,lof,drop,0.7484857664056608
20,lof,LOCF,0.7162910533915569
20,lof,mean,0.5045735860036095
20,lof,interpolation,0.7097212508654185
20,iforest,drop,0.6788837979183036
20,iforest,LOCF,0.4373310204312181
20,iforest,mean,-0.237365411138432
20,iforest,interpolation,0.3442599075003604
20,hst,drop,0.6547113471888473
20,hst,LOCF,0.6498237873162933
20,hst,mean,0.5398570981053828
20,hst,interpolation,0.6439838770257478
20,none,none,0.5984027361728883
20,z,drop,0.6098696112122137
20,z,LOCF,0.6050969381088063
20,z,mean,0.5861688137528169
20,z,interpolation,0.6058240122379408
20,lof,drop,0.7501623118914469
20,lof,LOCF,0.7146350182675492
20,lof,mean,0.4980266742572597
20,lof,interpolation,0.710798451034478
20,iforest,drop,0.6670548316574313
20,iforest,LOCF,0.4408336461372769
20,iforest,mean,-0.2508357718178953
20,iforest,interpolation,0.3955404917551071
20,hst,drop,0.6584571549591502
20,hst,LOCF,0.647330908308251
20,hst,mean,0.5391441807903179
20,hst,interpolation,0.6464491859446151
20,none,none,0.5971949948903763
20,z,drop,0.6086626812768232
20,z,LOCF,0.6049964852266964
20,z,mean,0.5882056858742153
20,z,interpolation,0.6048646131329289
20,lof,drop,0.7420441506909385
20,lof,LOCF,0.7129708442702629
20,lof,mean,0.5095626923467584
20,lof,interpolation,0.7069124836428087
20,iforest,drop,0.6844764382529792
20,iforest,LOCF,0.4101052615951742
20,iforest,mean,-0.1871328940594521
20,iforest,interpolation,0.3402564213182142
20,hst,drop,0.6522280497156672
20,hst,LOCF,0.6474375765161116
20,hst,mean,0.5343941774870895
20,hst,interpolation,0.6467948014008601
20,none,none,0.5988176212473171
20,z,drop,0.6115136193373854
20,z,LOCF,0.6074181088196429
20,z,mean,0.5886922772292442
20,z,interpolation,0.6074879763159862
20,lof,drop,0.7499341455300215
20,lof,LOCF,0.7176556935488361
20,lof,mean,0.4985927757319323
20,lof,interpolation,0.7080011802155015
20,iforest,drop,0.6925244460449889
20,iforest,LOCF,0.4410712118426145
20,iforest,mean,-0.1829515156719212
20,iforest,interpolation,0.3708395147380625
20,hst,drop,0.6514023895837202
20,hst,LOCF,0.6459638188811921
20,hst,mean,0.5355105242538736
20,hst,interpolation,0.6427600428239417
20,none,none,0.6007833016339001
20,z,drop,0.6131841270311735
20,z,LOCF,0.6098489931379691
20,z,mean,0.5927222740118931
20,z,interpolation,0.6085671914326295
20,lof,drop,0.7525341277052879
20,lof,LOCF,0.7134366380190005
20,lof,mean,0.5128108065152766
20,lof,interpolation,0.7078993588960716
20,iforest,drop,0.6827307526267135
20,iforest,LOCF,0.4188124977064885
20,iforest,mean,-0.2376753783191745
20,iforest,interpolation,0.3661077533605629
20,hst,drop,0.6572018158015497
20,hst,LOCF,0.6462574886313892
20,hst,mean,0.5375598983653147
20,hst,interpolation,0.6437613130702033
20,none,none,0.5984852052840743
20,z,drop,0.6101576775400056
20,z,LOCF,0.6092586222046579
20,z,mean,0.5895175637557823
20,z,interpolation,0.6091818066793802
20,lof,drop,0.7532400330017273
20,lof,LOCF,0.7137083273996545
20,lof,mean,0.5045958833988005
20,lof,interpolation,0.7088690777292673
20,iforest,drop,0.6743901532298535
20,iforest,LOCF,0.4205786003108791
20,iforest,mean,-0.280221492372529
20,iforest,interpolation,0.3493082061377126
20,hst,drop,0.6554564844208743
20,hst,LOCF,0.6511696146293593
20,hst,mean,0.5358717092646366
20,hst,interpolation,0.6498021379167813
20,none,none,0.5932039342412427
20,z,drop,0.6067245342858132
20,z,LOCF,0.6035521080001311
20,z,mean,0.5819578420788434
20,z,interpolation,0.6035872618879803
20,lof,drop,0.7432719179061025
20,lof,LOCF,0.7162260574567108
20,lof,mean,0.4969732734633042
20,lof,interpolation,0.7041786779582465
20,iforest,drop,0.6625363657959766
20,iforest,LOCF,0.4450364715597329
20,iforest,mean,-0.2112155977833458
20,iforest,interpolation,0.3705440632754799
20,hst,drop,0.6569724559548956
20,hst,LOCF,0.6511648252810405
20,hst,mean,0.5309858602354662
20,hst,interpolation,0.6515438493212753
