percentage,outlier,imputation,r2
40,none,none,0.4531690246183534
40,z,drop,0.4652364853232149
40,z,LOCF,0.4587669841276229
40,z,mean,0.4503817409001717
40,z,interpolation,0.4578644519866874
40,lof,drop,0.5710046228947416
40,lof,LOCF,0.5555315437113443
40,lof,mean,0.3027395513250857
40,lof,interpolation,0.5544889823230931
40,iforest,drop,0.6741195392707058
40,iforest,LOCF,0.5166275691719959
40,iforest,mean,-0.1787534947321933
40,iforest,interpolation,0.4557584984114599
40,hst,drop,0.5925227648321058
40,hst,LOCF,0.5824052025832545
40,hst,mean,0.2869216279081562
40,hst,interpolation,0.5739684489773726
40,none,none,0.4437314682331831
40,z,drop,0.4554206438277139
40,z,LOCF,0.4488437643159605
40,z,mean,0.4400589677433102
40,z,interpolation,0.4487261506947972
40,lof,drop,0.5811255764101619
40,lof,LOCF,0.5595334776147689
40,lof,mean,0.3037232963538105
40,lof,interpolation,0.5533630181011676
40,iforest,drop,0.6728423272724453
40,iforest,LOCF,0.5378341169542644
40,iforest,mean,-0.2160810725064008
40,iforest,interpolation,0.4891837943865255
40,hst,drop,0.5869635253851706
40,hst,LOCF,0.5750867246355282
40,hst,mean,0.2911369711828142
40,hst,interpolation,0.5706085033509887
40,none,none,0.4517631678832174
40,z,drop,0.4612841866780776
40,z,LOCF,0.4557301251149251
40,z,mean,0.4495487648008127
40,z,interpolation,0.4563770085122502
40,lof,drop,0.5770133916950564
40,lof,LOCF,0.5626762968364443
40,lof,mean,0.2734265956017986
40,lof,interpolation,0.5610111803251409
40,iforest,drop,0.679415560430969
40,iforest,LOCF,0.5353450955673531
40,iforest,mean,-0.2170544723900511
40,iforest,interpolation,0.4577550183526201
40,hst,drop,0.5837532874785821
40,hst,LOCF,0.5792682714533184
40,hst,mean,0.2885629398774907
40,hst,interpolation,0.5689647130938984
40,none,none,0.4422412957448384
40,z,drop,0.4506390426470296
40,z,LOCF,0.4489321358279837
40,z,mean,0.4393010671686245
40,z,interpolation,0.4499379585814644
40,lof,drop,0.5675747355590359
40,lof,LOCF,0.5514423829676659
40,lof,mean,0.2562402743957387
40,lof,interpolation,0.5442384638737963
40,iforest,drop,0.677625783635215
40,iforest,LOCF,0.5315221708979796
40,iforest,mean,-0.2531858639250903
40,iforest,interpolation,0.4607441762787294
40,hst,drop,0.5807439857534364
40,hst,LOCF,0.5763561624850919
40,hst,mean,0.2647896286761018
40,hst,interpolation,0.5711562812508235
40,none,none,0.4482592983665742
40,z,drop,0.4527469840475867
40,z,LOCF,0.4526265458617119
40,z,mean,0.4440476548833384
40,z,interpolation,0.4528901725516336
40,lof,drop,0.5679151412129911
40,lof,LOCF,0.5607004525073545
40,lof,mean,0.2763531742573889
40,lof,interpolation,0.5467225694564368
40,iforest,drop,0.6722058469914605
40,iforest,LOCF,0.5395223800347144
40,iforest,mean,-0.1747136561354487
40,iforest,interpolation,0.4857369681930789
40,hst,drop,0.5782305062708315
40,hst,LOCF,0.5746926357368425
40,hst,mean,0.2886239972110531
40,hst,interpolation,0.5733640837880463
40,none,none,0.4498749602857367
40,z,drop,0.4554838597813805
40,z,LOCF,0.4540124931568656
40,z,mean,0.4457386121063306
40,z,interpolation,0.4551538933748217
40,lof,drop,0.5869667409199157
40,lof,LOCF,0.5706048534309756
40,lof,mean,0.2828645957822694
40,lof,interpolation,0.5657203126864538
40,iforest,drop,0.6724387880991481
40,iforest,LOCF,0.5570377733595617
40,iforest,mean,-0.2139254237819514
40,iforest,interpolation,0.4553273741940248
40,hst,drop,0.5925436464238117
40,hst,LOCF,0.5796571612948879
40,hst,mean,0.2931014751488234
40,hst,interpolation,0.5759727914051987
40,none,none,0.4465232489919081
40,z,drop,0.4556653585947926
40,z,LOCF,0.4530291675899611
40,z,mean,0.4422704453484933
40,z,interpolation,0.4531160527284569
40,lof,drop,0.5779883421433027
40,lof,LOCF,0.5752138003317382
40,lof,mean,0.2754240412933407
40,lof,interpolation,0.5686050982547783
40,iforest,drop,0.6634579329197137
40,iforest,LOCF,0.5662340945543506
40,iforest,mean,-0.1771303126758305
40,iforest,interpolation,0.4931005941916103
40,hst,drop,0.5885490210493176
40,hst,LOCF,0.5832282605484965
40,hst,mean,0.2879690698153098
40,hst,interpolation,0.5725806880565398
40,none,none,0.4455341593080698
40,z,drop,0.4530730434601935
40,z,LOCF,0.4516402816334059
40,z,mean,0.4424423323608414
40,z,interpolation,0.4509932992355797
40,lof,drop,0.5616247652539466
40,lof,LOCF,0.5543875742560795
40,lof,mean,0.2868858860385559
40,lof,interpolation,0.5587101222500886
40,iforest,drop,0.6629515748578452
40,iforest,LOCF,0.5154245700976969
40,iforest,mean,-0.1660448437908281
40,iforest,interpolation,0.4628020452796916
40,hst,drop,0.5810920590361602
40,hst,LOCF,0.5797138466477109
40,hst,mean,0.2743605685207997
40,hst,interpolation,0.5714306567894344
