percentage,outlier,correction,imputation,r2
50,z,drop,LOCF,0.7689901612865158
50,z,drop,interpolation,0.7676619099104111
50,z,LOCF,LOCF,0.7649094126914214
50,z,LOCF,interpolation,0.7620044171024299
50,lof,drop,LOCF,0.8075417052596812
50,lof,drop,interpolation,0.8071213720160332
50,lof,LOCF,LOCF,0.746108488388766
50,lof,LOCF,interpolation,0.7435802167385019
50,hst,drop,LOCF,0.7796534739830158
50,hst,drop,interpolation,0.7776884284149375
50,hst,LOCF,LOCF,0.7668743506516288
50,hst,LOCF,interpolation,0.7637377075858963
50,z,drop,LOCF,0.7692643079518449
50,z,drop,interpolation,0.7697087393023851
50,z,LOCF,LOCF,0.7618588743762501
50,z,LOCF,interpolation,0.7602015794240159
50,lof,drop,LOCF,0.7852795446706748
50,lof,drop,interpolation,0.7818097139707052
50,lof,LOCF,LOCF,0.7465961953596831
50,lof,LOCF,interpolation,0.7445200722294252
50,hst,drop,LOCF,0.777644573779177
50,hst,drop,interpolation,0.7769543939700112
50,hst,LOCF,LOCF,0.763113908402229
50,hst,LOCF,interpolation,0.7608945360771561
50,z,drop,LOCF,0.763055270325489
50,z,drop,interpolation,0.763152114017527
50,z,LOCF,LOCF,0.7581208145505729
50,z,LOCF,interpolation,0.758800502673463
50,lof,drop,LOCF,0.7912113974470316
50,lof,drop,interpolation,0.7918310327498955
50,lof,LOCF,LOCF,0.7488004028036748
50,lof,LOCF,interpolation,0.7484353033435113
50,hst,drop,LOCF,0.7751257367003384
50,hst,drop,interpolation,0.7747865695945235
50,hst,LOCF,LOCF,0.759063994630025
50,hst,LOCF,interpolation,0.7576023729345294
50,z,drop,LOCF,0.7777180351665722
50,z,drop,interpolation,0.7772294855868638
50,z,LOCF,LOCF,0.764448724740601
50,z,LOCF,interpolation,0.7649911036658663
50,lof,drop,LOCF,0.7955489700841372
50,lof,drop,interpolation,0.7858782185407105
50,lof,LOCF,LOCF,0.7462588724400283
50,lof,LOCF,interpolation,0.746976896439421
50,hst,drop,LOCF,0.7748561207991118
50,hst,drop,interpolation,0.7744815583729481
50,hst,LOCF,LOCF,0.7622764341598873
50,hst,LOCF,interpolation,0.76267065590226
50,z,drop,LOCF,0.770179058263237
50,z,drop,interpolation,0.7689765034462069
50,z,LOCF,LOCF,0.7619016773679466
50,z,LOCF,interpolation,0.7600258518162668
50,lof,drop,LOCF,0.7804188417167865
50,lof,drop,interpolation,0.7907742815419989
50,lof,LOCF,LOCF,0.7486625554900338
50,lof,LOCF,interpolation,0.7489354438510611
50,hst,drop,LOCF,0.7771880846162997
50,hst,drop,interpolation,0.7757298064347489
50,hst,LOCF,LOCF,0.7606436425221572
50,hst,LOCF,interpolation,0.7597528107398968
50,z,drop,LOCF,0.7723947023041876
50,z,drop,interpolation,0.7698138793629314
50,z,LOCF,LOCF,0.7649524129000952
50,z,LOCF,interpolation,0.7631448760705718
50,lof,drop,LOCF,0.7949228272890797
50,lof,drop,interpolation,0.7948962959284164
50,lof,LOCF,LOCF,0.7542494101907508
50,lof,LOCF,interpolation,0.7550152689797922
50,hst,drop,LOCF,0.7779425312816571
50,hst,drop,interpolation,0.7753802746624846
50,hst,LOCF,LOCF,0.7616694171109525
50,hst,LOCF,interpolation,0.7608368570046412
50,z,drop,LOCF,0.7713722282389937
50,z,drop,interpolation,0.77091698267515
50,z,LOCF,LOCF,0.7603990600951279
50,z,LOCF,interpolation,0.7583220847757578
50,lof,drop,LOCF,0.7852551499988989
50,lof,drop,interpolation,0.7918545293272921
50,lof,LOCF,LOCF,0.7488641703020039
50,lof,LOCF,interpolation,0.7429829494331963
50,hst,drop,LOCF,0.7734835934446875
50,hst,drop,interpolation,0.7753546415150878
50,hst,LOCF,LOCF,0.7571567975280693
50,hst,LOCF,interpolation,0.7560153312095781
50,z,drop,LOCF,0.7633597733557778
50,z,drop,interpolation,0.7643499941214017
50,z,LOCF,LOCF,0.7606714615128118
50,z,LOCF,interpolation,0.7604086880342881
50,lof,drop,LOCF,0.7871082107037108
50,lof,drop,interpolation,0.8026210752357608
50,lof,LOCF,LOCF,0.7565933816335059
50,lof,LOCF,interpolation,0.748149339379072
50,hst,drop,LOCF,0.7822304103059501
50,hst,drop,interpolation,0.7828287924357884
50,hst,LOCF,LOCF,0.765506516476516
50,hst,LOCF,interpolation,0.7661969949103891
