percentage,outlier,correction,imputation,r2
30,z,drop,LOCF,0.772974707754347
30,z,drop,interpolation,0.7715955555827179
30,z,LOCF,LOCF,0.7628788646061299
30,z,LOCF,interpolation,0.763009511858016
30,lof,drop,LOCF,0.8006722685643098
30,lof,drop,interpolation,0.7950824058149655
30,lof,LOCF,LOCF,0.754047760906774
30,lof,LOCF,interpolation,0.7561019845018138
30,hst,drop,LOCF,0.7790257107947416
30,hst,drop,interpolation,0.778895273796258
30,hst,LOCF,LOCF,0.7592091828592247
30,hst,LOCF,interpolation,0.7604083126311657
30,z,drop,LOCF,0.7774550275620395
30,z,drop,interpolation,0.7782592166361673
30,z,LOCF,LOCF,0.7707678399239689
30,z,LOCF,interpolation,0.7706517958736736
30,lof,drop,LOCF,0.7973709919372562
30,lof,drop,interpolation,0.797644937774922
30,lof,LOCF,LOCF,0.7625600889523118
30,lof,LOCF,interpolation,0.7621590698675499
30,hst,drop,LOCF,0.7757981261048185
30,hst,drop,interpolation,0.7762222744302032
30,hst,LOCF,LOCF,0.7686504875550126
30,hst,LOCF,interpolation,0.768948753431981
30,z,drop,LOCF,0.7765746929945097
30,z,drop,interpolation,0.7752202787147201
30,z,LOCF,LOCF,0.7717960500547332
30,z,LOCF,interpolation,0.7705193381888169
30,lof,drop,LOCF,0.7989149247551887
30,lof,drop,interpolation,0.7978832606802705
30,lof,LOCF,LOCF,0.760752701012604
30,lof,LOCF,interpolation,0.7631471484444541
30,hst,drop,LOCF,0.776869301639365
30,hst,drop,interpolation,0.7740409959150869
30,hst,LOCF,LOCF,0.7675645495940511
30,hst,LOCF,interpolation,0.7669681542883173
30,z,drop,LOCF,0.7775936240324104
30,z,drop,interpolation,0.7776559306492549
30,z,LOCF,LOCF,0.7749109255844623
30,z,LOCF,interpolation,0.775481167031413
30,lof,drop,LOCF,0.7917043620650075
30,lof,drop,interpolation,0.7864915234653855
30,lof,LOCF,LOCF,0.7538364013609848
30,lof,LOCF,interpolation,0.7598942384814629
30,hst,drop,LOCF,0.7877093078833157
30,hst,drop,interpolation,0.7888459254628748
30,hst,LOCF,LOCF,0.7749366660264191
30,hst,LOCF,interpolation,0.7747214950582741
30,z,drop,LOCF,0.7778351745285117
30,z,drop,interpolation,0.7780677927334357
30,z,LOCF,LOCF,0.7762498382173362
30,z,LOCF,interpolation,0.7767237985652702
30,lof,drop,LOCF,0.7977464609738598
30,lof,drop,interpolation,0.7905291877338325
30,lof,LOCF,LOCF,0.7584382600461665
30,lof,LOCF,interpolation,0.7599850056957536
30,hst,drop,LOCF,0.7866977298913123
30,hst,drop,interpolation,0.7866830638058898
30,hst,LOCF,LOCF,0.7748545132081728
30,hst,LOCF,interpolation,0.7757649932312856
30,z,drop,LOCF,0.7774539304340686
30,z,drop,interpolation,0.7780185705313535
30,z,LOCF,LOCF,0.7684693525037055
30,z,LOCF,interpolation,0.7704865202899173
30,lof,drop,LOCF,0.8028164882181166
30,lof,drop,interpolation,0.809250674987382
30,lof,LOCF,LOCF,0.7526612919693523
30,lof,LOCF,interpolation,0.7573202428336004
30,hst,drop,LOCF,0.7869299034440357
30,hst,drop,interpolation,0.7878330068318199
30,hst,LOCF,LOCF,0.7656883561806722
30,hst,LOCF,interpolation,0.7662469636907483
30,z,drop,LOCF,0.7869253820553327
30,z,drop,interpolation,0.785256457384744
30,z,LOCF,LOCF,0.7771704405133524
30,z,LOCF,interpolation,0.7768744876085006
30,lof,drop,LOCF,0.8021334955045057
30,lof,drop,interpolation,0.7990672844942515
30,lof,LOCF,LOCF,0.7618331503591123
30,lof,LOCF,interpolation,0.7619700303612459
30,hst,drop,LOCF,0.790276535063799
30,hst,drop,interpolation,0.7895985819881897
30,hst,LOCF,LOCF,0.7727407882270708
30,hst,LOCF,interpolation,0.7718306981993541
30,z,drop,LOCF,0.7853097318079827
30,z,drop,interpolation,0.7849279483201378
30,z,LOCF,LOCF,0.7775689766336599
30,z,LOCF,interpolation,0.7769661813923443
30,lof,drop,LOCF,0.7906377787542218
30,lof,drop,interpolation,0.7906769039331702
30,lof,LOCF,LOCF,0.7593994016182295
30,lof,LOCF,interpolation,0.7570977867753051
30,hst,drop,LOCF,0.7855063570915528
30,hst,drop,interpolation,0.7841590361531081
30,hst,LOCF,LOCF,0.7784792606608443
30,hst,LOCF,interpolation,0.7771125419103528
