percentage,outlier,correction,imputation,r2
40,z,drop,LOCF,0.7667868796153186
40,z,drop,interpolation,0.7686186959757284
40,z,LOCF,LOCF,0.7670731009216326
40,z,LOCF,interpolation,0.7667296353540558
40,lof,drop,LOCF,0.7739383536084783
40,lof,drop,interpolation,0.7740129860437346
40,lof,LOCF,LOCF,0.7489266701013222
40,lof,LOCF,interpolation,0.7515026618581487
40,hst,drop,LOCF,0.7695041980756266
40,hst,drop,interpolation,0.7687687687687689
40,hst,LOCF,LOCF,0.7665579025702673
40,hst,LOCF,interpolation,0.7656992386513252
