percentage,outlier,correction,imputation,r2
10,z,drop,LOCF,0.7794378613543992
10,z,drop,interpolation,0.7798958154445017
10,z,LOCF,LOCF,0.7796668383994505
10,z,LOCF,interpolation,0.7785219531741941
10,lof,drop,LOCF,0.7843477144324602
10,lof,drop,interpolation,0.781522855675398
10,lof,LOCF,LOCF,0.7732554811380159
10,lof,LOCF,interpolation,0.7750872974984258
10,hst,drop,LOCF,0.7813295447818623
10,hst,drop,interpolation,0.7797312496300243
10,hst,LOCF,LOCF,0.7778350220390405
10,hst,LOCF,interpolation,0.7786364416967199
