percentage,outlier,correction,imputation,r2
20,z,drop,LOCF,0.7764039155074703
20,z,drop,interpolation,0.7787509302192456
20,z,LOCF,LOCF,0.775602495849791
20,z,LOCF,interpolation,0.7775488007327266
20,lof,drop,LOCF,0.7799156921403317
20,lof,drop,interpolation,0.7807995648626597
20,lof,LOCF,LOCF,0.7647833304711202
20,lof,LOCF,interpolation,0.765756482912588
20,hst,drop,LOCF,0.7746461909063536
20,hst,drop,interpolation,0.7772357723577236
20,hst,LOCF,LOCF,0.7760604499398936
20,hst,LOCF,interpolation,0.77680462533631
