percentage,method,precision,recall,f1
20,z,0.2029138142882218,0.3105857066093498,0.2454613016243762
20,lof,0.7693776250477281,0.5413756045137023,0.6355464437785838
20,iforest,0.9900562040639862,0.615260612573885,0.7589063794531897
20,hst,0.888748419721871,0.5666308436324556,0.6920426579163249
20,z,0.1961025280898876,0.3093325948490723,0.2400343827226818
20,lof,0.7691693290734825,0.533370257546386,0.629926410466067
20,iforest,0.9995483288166216,0.6128496261423428,0.7598283261802574
20,hst,0.8862456747404844,0.5674328440875104,0.6918791153131859
20,z,0.2043180621379673,0.3259591150938112,0.2511868795856711
20,lof,0.7653268371904182,0.5278633436012321,0.6247928405701028
20,iforest,0.9990880072959416,0.6135536264351722,0.7602359472588479
20,hst,0.8911273039005573,0.582189862783534,0.7042682926829269
20,z,0.2002808495699491,0.316504854368932,0.2453235863255214
20,lof,0.7637951568082573,0.5337031900138697,0.6283474853037231
20,iforest,1.0,0.6124826629680998,0.7596765869602614
20,hst,0.8922056384742952,0.5969486823855756,0.7153066312115673
20,z,0.2134831460674157,0.3271455474845305,0.2583660894507596
20,lof,0.7813953488372093,0.5423728813559322,0.6403049070986184
20,iforest,1.0,0.5972558514931396,0.7478524507326932
20,hst,0.8987921699291962,0.580575733118106,0.7054593004249754
20,z,0.2020361593821309,0.3081659973226238,0.2440627650551315
20,lof,0.7755178907721281,0.5512717536813923,0.6444444444444445
20,iforest,0.9995541685242978,0.6002677376171353,0.7500836400133825
20,hst,0.8811013767209012,0.5654618473895582,0.6888454011741683
20,z,0.2006319115323854,0.3201680672268907,0.2466817740369051
20,lof,0.7775598273832875,0.5551820728291317,0.6478182709593071
20,iforest,0.998644374152734,0.6190476190476191,0.7643091820854228
20,hst,0.8851612903225806,0.5764705882352941,0.6982188295165394
20,z,0.1994031946638581,0.3091156462585034,0.2424242424242424
20,lof,0.7822834645669291,0.5406802721088435,0.6394207562349155
20,iforest,1.0,0.6084353741496599,0.7565555743529014
20,hst,0.8922358930844294,0.5722448979591837,0.6972811671087533
