percentage,outlier,imputation,r2
50,none,none,0.7632377354170244
50,none,drop,0.7738478027867095
50,none,LOCF,0.7730837483542276
50,none,mean,0.7654130173450112
50,none,interpolation,0.7732554811380159
50,none,none,0.761863873146717
50,none,drop,0.778868290318672
50,none,LOCF,0.7701642910298242
50,none,mean,0.7670158566603698
50,none,interpolation,0.7704505123361383
50,none,none,0.7622073387142939
50,none,drop,0.778504786138374
50,none,LOCF,0.7697063369397219
50,none,mean,0.767531055011735
50,none,interpolation,0.7725113057415994
50,none,none,0.7616348961016658
50,none,drop,0.7699018538713195
50,none,LOCF,0.7709084664262408
50,none,mean,0.7669013681378443
50,none,interpolation,0.7728547713091762
50,none,none,0.7638101780296526
50,none,drop,0.7705076941718163
50,none,LOCF,0.7713091762550806
50,none,mean,0.7651840402999599
50,none,interpolation,0.7690766500658309
50,none,none,0.7618066288854543
50,none,drop,0.7755150649041325
50,none,LOCF,0.7722250844352854
50,none,mean,0.7695918484171962
50,none,interpolation,0.7730837483542276
50,none,none,0.7644398649035434
50,none,drop,0.7756341550553769
50,none,LOCF,0.769935313984773
50,none,mean,0.7699925582460359
50,none,interpolation,0.7739996565344325
50,none,none,0.765126796038697
50,none,drop,0.7758723353578659
50,none,LOCF,0.7727975270479135
50,none,mean,0.7659282156963765
50,none,interpolation,0.7736561909668556
